movie_id,Writer
68806,Graziano Diana
68806,Simona Izzo
68806,Simona Izzo
37345,N/A
37345,N/A
37345,N/A
37345,N/A
37345,N/A
37345,N/A
37345,N/A
32562,Vito Russo
47507,N/A
47507,N/A
47507,N/A
47507,N/A
47507,N/A
47507,N/A
47507,N/A
25403,Nanni Moretti
124304,María Luisa Bemberg
9066,Laurice Elehwany
9066,Rick Copp
771,John Hughes
251,Bruce Joel Rubin
812,Ted Elliott
812,Terry Rossio
812,Ron Clements
812,John Musker
812,Roger Allers
812,Kevin Lima
812,Darrell Rooney
812,Burny Mattinson
812,Eric Goldberg
812,Chris Sanders
812,Brian Pimental
812,Francis Glebas
812,Larry Leker
812,Kevin Harkey
